Name,Award / Degree,Current Department,Current College or Division,Active Concentrations-CHE Approved
"Forest Resources, PhD",Doctor of Philosophy,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
"Forest Resource Management, BS",Bachelor of Science,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
"Wildlife and Fisheries Resources, MWFR",Master of Wildlife & Fisheries Resources,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",GIS Applications for Natural Resources (GISA)
"Wildlife and Fisheries Biology, MS",Master of Science,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
"Architecture, BA",Bachelor of Art,School of Architecture,"""College of Architecture, Arts and Construction""",
"Architecture+CommunityBUILD, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""",
"Digital Ecologies, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""",
"City and Regional Planning, MCRP",Master of City and Regional Planning,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",
"Planning, Design, and the Built Environment, PhD",Doctor of Philosophy,School of Architecture,"""College of Architecture, Arts and Construction""",
"Resilient Urban Design, MRUD",Master of Resilient Urban Design,School of Architecture,"""College of Architecture, Arts and Construction""",
"Landscape Architecture, BLA",Bachelor of Landscape Architecture,School of Architecture,"""College of Architecture, Arts and Construction""",
"Landscape Architecture, MLA",Master of Landscape Architecture,School of Architecture,"""College of Architecture, Arts and Construction""",
"Architecture, MArch",Master of Architecture,School of Architecture,"""College of Architecture, Arts and Construction""","Architecture (N/A), Architecture and Health (ARHE)"
"Architecture, MS",Master of Science,School of Architecture,"""College of Architecture, Arts and Construction""",
"Global Black Studies, BA",Bachelor of Art,Department of Interdisciplinary Studies,College of Arts and Humanities,
"Women's Leadership, BA",Bachelor of Art,Department of Interdisciplinary Studies,College of Arts and Humanities,
"Rhetorics, Communication and Information Design, PhD",Doctor of Philosophy,Department of Interdisciplinary Studies,College of Arts and Humanities,
"Communication, MA",Master of Arts,Department of Communication,"""College of Behavioral, Social and Health Sciences""",
"Sports Communication, BA",Bachelor of Art,Department of Communication,"""College of Behavioral, Social and Health Sciences""",
"Computer Science, BA",Bachelor of Art,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Computer Science, BS",Bachelor of Science,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Computer Science, MS",Master of Science,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Computer Science, PhD",Doctor of Philosophy,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Human Centered Computing, PhD",Doctor of Philosophy,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Digital Production Arts, MFA",Master of Fine Arts,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Digital Production Arts, MS",Master of Science,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Computer Information Systems, BS",Bachelor of Science,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Teaching and Learning, MEd",Master of Education,Department of Teaching and Learning,College of Education,"""STEAM (Science, Technology, Engineering, Arts, and Mathematics) (STEM)"", Experiential Learning for Early Childhood (EXLR), Instructional Coaching (INCO), Effective and Reflective Teaching (EFRE), Self-Designed Specialization (SLFD)"
"Teaching and Learning, PhD",Doctor of Philosophy,Department of Teaching and Learning,College of Education,
"Educational Leadership, EdS",Education Specialist,Department of Education and Organization Leadership Development,College of Education,P-12/K-12 Administration (N/A)
"Educational Leadership, MEd",Master of Education,Department of Education and Organization Leadership Development,College of Education,
"Educational Leadership, PhD",Doctor of Philosophy,Department of Education and Organization Leadership Development,College of Education,"Higher Education (E096), P12/K12 Administration (E097)"
"Educational Leadership, Post Master Certificate",Certificate-Post Master,Department of Education and Organization Leadership Development,College of Education,
"Online Teaching, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Learning Sciences, PhD",Doctor of Philosophy,Department of Education and Human Development,College of Education,
"Education Systems Improvement Science, EdD",Doctor of Education,Department of Education and Organization Leadership Development,College of Education,
"Special Education, BA",Bachelor of Art,Department of Education and Human Development,College of Education,"Non-Certification Option (E210), Teacher Certification (E222)"
"Special Education, MAT",Master of Arts in Teaching,Department of Education and Human Development,College of Education,"Learning Disabilities (LEDI), Intellectual Disabilities (INDI), Emotional/Behavioral Disorders (EBDI)"
"Special Education, MEd",Master of Education,Department of Education and Human Development,College of Education,
"Special Education, PhD",Doctor of Philosophy,Department of Education and Human Development,College of Education,
"Teacher Residency, Special Education, MAT",Master of Arts in Teaching,Department of Education and Human Development,College of Education,Multi-categorical (N/A)
"Counselor Education, EdS",Education Specialist,Department of Education and Human Development,College of Education,"Clinical Mental Health Counsel (CLMH), School Counseling (SCHC)"
"Counselor Education, MEd",Master of Education,"Department of Education and Human Development, Department of Education and Organization Leadership Development",College of Education,"Clinical Mental Health Counseling (E155), School Counseling (E137), Student Affairs (E156)"
"Elementary Education, BA",Bachelor of Art,Department of Teaching and Learning,College of Education,"Non-certification Option (E210), Teacher Certification (E222)"
"Teacher Residency, Elementary Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,
"Middle Level Education, BS",Bachelor of Science,Department of Teaching and Learning,College of Education,"English/Language Art (N/A), Mathematics (N/A), Science (N/A), Social Studies (N/A)"
"Middle Level Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,
"Teacher Residency, Middle Level Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,"English/Language Arts (N/A), Mathematics (N/A), Science (N/A), Social Studies (N/A)"
"ESOL-English to Speakers of Other Languages, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Secondary Education and Teaching, BA",Bachelor of Art,Department of Teaching and Learning,College of Education,"English Emphasis (E050), Mathematics Emphasis (E101), Social Studies (History) Emphasis (E108), Teacher Certification Emphasis (E222), Non-Certification Emphasis (E210)"
"Secondary Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,"English/Language Arts (ENLA), Mathematics (MATH), Science (SCIN), Social Studies (SOST)"
"Teacher Residency, Secondary Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,"Social Studies (History) Emphasis (E207), English Emphasis (E050), Mathematics Emphasis (E101), Science (E205)"
"Early Childhood Education, BA",Bachelor of Art,Department of Teaching and Learning,College of Education,"Non-certification Option (E210), Teacher Certification (E222)"
"Teacher Residency, Early Childhood Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,
"Agricultural Education, BS",Bachelor of Science,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Agricultural Education, MAGED",Master of Agriculture Education,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Mathematics Teaching, BS",Bachelor of Science,Department of Teaching and Learning,College of Education,"Non-certification Option (E210), Teacher Certification (E222)"
"Literacy, MEd",Master of Education,Department of Education and Human Development,College of Education,ESOL Certification (N/A)
"Science Teaching, BA",Bachelor of Art,Department of Teaching and Learning,College of Education,"Biological Science (E098), Physics (E008), Chemistry (E099), Non-Certification Option (E210)"
"Science Teaching, BS",Bachelor of Science,Department of Teaching and Learning,College of Education,Biological Science (E098)
"Science, Technology, Engineering, Art and Mathematics (STEAM) in Teaching and Learning, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Teaching and Learning,College of Education,
"Literacy, Language and Culture, PhD",Doctor of Philosophy,Department of Education and Human Development,College of Education,
"International Engineering and Science, Baccalaureate Certificate",Certificate-Baccalaureate,"""Dean of Engineering, Computer & Applied Sciences""","""College of Engineering, Computing and Applied Sciences""",
"Biosystems Engineering, BS",Bachelor of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""","Bioprocess Engineering (E023), Ecological Engineering (E024)"
"Biosystems Engineering, MS",Master of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""",
"Biosystems Engineering, PhD",Doctor of Philosophy,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""",
"Bioengineering, BS",Bachelor of Science,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""","Biomaterials Engineering (BMAT), Bioelectrical Engineering (BELE)"
"Bioengineering, MS",Master of Science,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Bioengineering, PhD",Doctor of Philosophy,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Biomedical Engineering, MEng",Master of Engineering,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Medical Device Design, Recycling and Reprocessing, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Chemical Engineering, BS",Bachelor of Science,Department of Chemical & Biomolecular Engineering,"""College of Engineering, Computing and Applied Sciences""","General (N/A), Biomolecular Engineering (BMOL)"
"Chemical Engineering, MS",Master of Science,Department of Chemical & Biomolecular Engineering,"""College of Engineering, Computing and Applied Sciences""",Non-Thesis (NTO)
"Chemical Engineering, PhD",Doctor of Philosophy,Department of Chemical & Biomolecular Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Capital Project Management, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Civil Engineering, BS",Bachelor of Science,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Civil Engineering, MEng",Master of Engineering,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",Risk Engineering & System Analytics (RESA)
"Civil Engineering, MS",Master of Science,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Civil Engineering, PhD",Doctor of Philosophy,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Risk Engineering, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Risk Management, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"System Analytics, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Computer Engineering, BS",Bachelor of Science,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Computer Engineering, MS",Master of Science,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Computer Engineering, PhD",Doctor of Philosophy,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Advanced Power Systems, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Electrical Engineering, BS",Bachelor of Science,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Electrical Engineering, MEng",Master of Engineering,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Electrical Engineering, MS",Master of Science,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Electrical Engineering, PhD",Doctor of Philosophy,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Power Systems Engineering, Certificate",Certificate-Post Baccalaureate,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Renewable Energy, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Environmental Engineering and Earth Sciences, PhD",Doctor of Philosophy,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""",
"Environmental Engineering and Science, MS",Master of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""",Environmental Health Physics (E124)
"Environmental Engineering, BS",Bachelor of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""","General (N/A), Natural Systems (NASY)"
"Materials Science and Engineering, BS",Bachelor of Science,School of Materials Science & Engineering,"""College of Engineering, Computing and Applied Sciences""","Inorganic Materials (INOR), Polymeric Materials (POLM)"
"Materials Science and Engineering, MS",Master of Science,School of Materials Science & Engineering,"""College of Engineering, Computing and Applied Sciences""",Non-Thesis Option (N/A)
"Materials Science and Engineering, PhD",Doctor of Philosophy,School of Materials Science & Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Mechanical Engineering, BS",Bachelor of Science,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Mechanical Engineering, MS",Master of Science,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Mechanical Engineering, PhD",Doctor of Philosophy,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Systems Engineering, Post-Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""","Software Intensive Systems (N/A), Manufacturing and Service Enterprise Systems (N/A)"
"Systems Engineering, MEng",Master of Engineering,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Industrial Engineering, BS",Bachelor of Science,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Industrial Engineering, MEng",Master of Engineering,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",Supply Chain and Logistics (N/A)
"Industrial Engineering, MS",Master of Science,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Industrial Engineering, PhD",Doctor of Philosophy,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",Supply Chain and Logistics (N/A)
"Six Sigma, Baccalaureate Certificate",Certificate-Baccalaureate,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Advanced Manufacturing, Baccalaureate Certificate",Certificate-Baccalaureate,"""Dean of Engineering, Computer & Applied Sciences""","""College of Engineering, Computing and Applied Sciences""",
"Automotive Engineering, Baccalaureate Certificate",Certificate-Baccalaureate,Department of Automotive Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Automotive Engineering, MS",Master of Science,Department of Automotive Engineering,"""College of Engineering, Computing and Applied Sciences""","Vehicular Manufacturing & Materials (MANF), Vehicle Performance (VPER), Advanced Powertrains and Drivelines (POWR), Vehicle Automation and Electronics (AUEL)"
"Automotive Engineering, PhD",Doctor of Philosophy,Department of Automotive Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Automotive Engineering, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Automotive Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Engineering and Science Education, Post Master Certificate",Certificate-Post Master,Department of Engineering & Science Education,"""College of Engineering, Computing and Applied Sciences""",
"Packaging Science, BS",Bachelor of Science,"""Department of Food, Nutrition, & Packaging Sciences""","""College of Agriculture, Forestry and Life Sciences""",
"Packaging Science, MS",Master of Science,"""Department of Food, Nutrition, & Packaging Sciences""","""College of Agriculture, Forestry and Life Sciences""",
"Engineering and Science Education, PhD",Doctor of Philosophy,Department of Engineering & Science Education,"""College of Engineering, Computing and Applied Sciences""",
"Modern Languages, BA",Bachelor of Art,Department of Languages,College of Arts and Humanities,"French (E110), German (E111), Spanish (E112), Japanese (E006), Italian (E070), American Sign Language (E069), Chinese (E068)"
"Language and International Health, BS",Bachelor of Science,Department of Languages,College of Arts and Humanities,
"ASL-English Education Interpreting, Certificate",Certificate,Department of Languages,College of Arts and Humanities,
"Language and International Business, BA",Bachelor of Art,Department of Languages,College of Arts and Humanities,
"International Family and Community Studies, Post-Baccalaureate",Certificate-Post Baccalaureate,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",
"International Family and Community Studies, PhD",Doctor of Philosophy,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""","Community Services (N/A), Social Policy (N/A)"
"Youth Development Leadership, MS",Master of Science,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",
"Youth Development Leadership, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",
"Youth Development Studies, BS",Bachelor of Science,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",
"English, BA",Bachelor of Art,Department of English,College of Arts and Humanities,
"English, MA",Master of Arts,Department of English,College of Arts and Humanities,
"Writing, Rhetoric, and Media, MA",Master of Arts,Department of English,College of Arts and Humanities,
"Communication, BA",Bachelor of Art,Department of Communication,"""College of Behavioral, Social and Health Sciences""","Health Communication (E232), Strategic Communication (E233), Media and Technology Studies (E234), Generalist (E235)"
"Biological Sciences, BA",Bachelor of Art,Department of Biological Sciences,College of Science,
"Biological Sciences, BS",Bachelor of Science,Department of Biological Sciences,College of Science,Entomology (E077)
"Biological Sciences, MS",Master of Science,Department of Biological Sciences,College of Science,Non-Thesis option (N/A)
"Biological Sciences, PhD",Doctor of Philosophy,Department of Biological Sciences,College of Science,
"Biochemistry and Molecular Biology, MS",Master of Science,Department of Genetics and Biochemistry,College of Science,
"Biochemistry and Molecular Biology, PhD",Doctor of Philosophy,Department of Genetics and Biochemistry,College of Science,
"Biochemistry, BS",Bachelor of Science,Department of Genetics and Biochemistry,College of Science,
"Microbiology, BS",Bachelor of Science,Department of Biological Sciences,College of Science,"General (N/A), Biomedicine (BIOM)"
"Microbiology, MS",Master of Science,Department of Biological Sciences,College of Science,
"Microbiology, PhD",Doctor of Philosophy,Department of Biological Sciences,College of Science,
"Entomology, MS",Master of Science,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Entomology, PhD",Doctor of Philosophy,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Animal and Veterinary Sciences, MS ",Master of Science,Department of Animal & Veterinary Sciences,"""College of Agriculture, Forestry and Life Sciences""",Non-thesis option (N/A)
"Animal and Veterinary Sciences, PhD",Doctor of Philosophy,Department of Animal & Veterinary Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Genetics, BS ",Bachelor of Science,Department of Genetics and Biochemistry,College of Science,
"Genetics, MS",Master of Science,Department of Genetics and Biochemistry,College of Science,
"Genetics, PhD",Doctor of Philosophy,Department of Genetics and Biochemistry,College of Science,
"Healthcare Genetics and Genomics, PhD",Doctor of Philosophy,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Translational Genomics, Post Bacc Certificate",Certificate-Post Baccalaureate,"""Dean College of Agriculture, Forestry and Life Sciences""","""College of Agriculture, Forestry and Life Sciences""",
"Environmental Toxicology, MS",Master of Science,Department of Biological Sciences,College of Science,
"Environmental Toxicology, PhD",Doctor of Philosophy,Department of Biological Sciences,College of Science,
"Mathematical Sciences, BA",Bachelor of Art,School of Mathematical and Statistical Sciences,College of Science,
"Mathematical Sciences, BS",Bachelor of Science,School of Mathematical and Statistical Sciences,College of Science,"General (N/A), Biology (BIOL), Mathematics Emphasis (N/A)"
"Mathematical Sciences, MS",Master of Science,School of Mathematical and Statistical Sciences,College of Science,
"Mathematical Sciences, PhD",Doctor of Philosophy,School of Mathematical and Statistical Sciences,College of Science,
"Historic Preservation, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""","Fundamentals of Historic Preservation (N/A), Advanced Applications of Historic Preservation (N/A)"
"Historic Preservation, MS",Master of Science,School of Architecture,"""College of Architecture, Arts and Construction""",
"Business Anthropology and Human Behavior, Certificate",Certificate,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",
"Data Science and Analytics, MS",Master of Science,School of Mathematical and Statistical Sciences,College of Science,
"Athletic Leadership in Education, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Organization Leadership Development,College of Education,
"Parks, Recreation and Tourism Management, BS",Bachelor of Science,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""","Recreational Therapy (RETH), ""Parks, Recreation, and Tourism (PRT)"""
"Parks, Recreation and Tourism Management, MS",Master of Science,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",Non-Thesis Option (N/A)
"Parks, Recreation and Tourism Management, PhD",Doctor of Philosophy,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",Recreational Therapy (RETH)
"Athletic Leadership, MS",Master of Science,Department of Education and Organization Leadership Development,College of Education,
"Philosophy, BA",Bachelor of Art,Department of Philosophy & Religion,College of Arts and Humanities,"""Medicine, Health, and Human Values (E238)"""
"Religious Studies, BA",Bachelor of Art,Department of Philosophy & Religion,College of Arts and Humanities,
"Chemistry, BA",Bachelor of Art,Department of Chemistry,College of Science,
"Chemistry, BS",Bachelor of Science,Department of Chemistry,College of Science,
"Chemistry, MS",Master of Science,Department of Chemistry,College of Science,Non-Thesis (N/A)
"Chemistry, PhD",Doctor of Philosophy,Department of Chemistry,College of Science,
"Geology, BS",Bachelor of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""","Environmental Science (ENSC), Hydrogeology (HYDR), General (N/A)"
"Hydrogeology, MS",Master of Science,Department of Environmental Engineering & Earth Sciences,"""College of Engineering, Computing and Applied Sciences""",
"Physics, BA",Bachelor of Art,Department of Physics and Astronomy,College of Science,
"Physics, BS",Bachelor of Science,Department of Physics and Astronomy,College of Science,General (N/A)
"Physics, MS",Master of Science,Department of Physics and Astronomy,College of Science,
"Physics, PhD",Doctor of Philosophy,Department of Physics and Astronomy,College of Science,
"Photonic Science and Technology, MS ",Master of Science,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Photonic Science and Technology, PhD",Doctor of Philosophy,Holcombe Department of Electrical & Computer Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Psychology, BA",Bachelor of Art,Department of Psychology,"""College of Behavioral, Social and Health Sciences""",
"Psychology, BS",Bachelor of Science,Department of Psychology,"""College of Behavioral, Social and Health Sciences""",
"Applied Psychology, MS",Master of Science,Department of Psychology,"""College of Behavioral, Social and Health Sciences""","Health Psychology (HPSY), Human Factors Psychology (HFPS), Industrial/Organizational Psychology (IOPS)"
"Industrial/Organizational Psychology, PhD",Doctor of Philosophy,Department of Psychology,"""College of Behavioral, Social and Health Sciences""",
"Applied Behavior Analysis, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Human Factors Psychology, PhD",Doctor of Philosophy,Department of Psychology,"""College of Behavioral, Social and Health Sciences""",
"Homeland Defense and Security, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Master of Public Administration Programs,"""College of Behavioral, Social and Health Sciences""",
"Emergency Management, Post-Baccalaureate Certificate",Certificate-Post Baccalaureate,Master of Public Administration Programs,"""College of Behavioral, Social and Health Sciences""",
"Public Administration, MPA",Master of Public Administration,Department of Political Science,"""College of Behavioral, Social and Health Sciences""","Community Services (N/A), Social Policy (N/A)"
"Public Administration, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Master of Public Administration Programs,"""College of Behavioral, Social and Health Sciences""",
"Policy Studies, PhD",Doctor of Philosophy,Department of Political Science,"""College of Behavioral, Social and Health Sciences""","Agricultural Policy (N/A), Environmental and Natural Resource Policy (N/A), Economic Development (N/A), Science and Technology (N/A)"
"Policy Studies, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Political Science,"""College of Behavioral, Social and Health Sciences""",
"Anthropology, BA",Bachelor of Art,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",
"Anthropology, BS",Bachelor of Science,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",
"Criminal Justice, BA",Bachelor of Art,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""","General (GJST), Legal (LEGL)"
"Criminal Justice, BS",Bachelor of Science,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""","General (GJST), Legal (LEGL)"
"Economics, BA",Bachelor of Art,Department of Economics,College of Business,
